Purchase Date,Roaster Name,Roaster City/State,Roaster Country,Coffee Name,Coffee Varietals 1,Coffee Varietals 2,Coffee Varietals 3,Coffee Origin Region,Coffee Origin Country,Farm,Producers,Altitude (MASL),Process,Roast Level,Tasting Notes 1,Tasting Notes 2,Tasting Notes 3,Tasting Notes 4,Weight (g),Price (USD),$ per 100g,Drunk as
10/1/2024,Hydrangea Coffee Roasters,"Berkeley, CA",USA,Alvaro Rodriguez LPET,Castillo,,,Cundinamarca,Colombia,,Alvaro Rodriguez,1450,Washed Bio-innovation,Light,Kiwi,Tart Apple,Chamomile,,227,25,11.0,Pour-Over
7/18/2024,Nomad Coffee Roasters,Barcelona,Spain,Albino Ibias Gesha,Geisha,,,Cusco,Peru,Incahuasi Valley,Albino Ibias,2250,Washed,Light,Tropical Fruit,Chamomile,Wild Floral Honey,,250,34,13.6,Pour-Over
7/16/2024,Nomad Coffee Roasters,Barcelona,Spain,Las Perlitas,Pink Bourbon,,,Huila,Colombia,,Various Producers,1900,Washed,Light,Honeydew,Granny Smith,Lemongrass,,250,31,12.4,Pour-Over
4/16/2024,April Coffee Roaster,Copenhagen,Denmark,Ethiopia Regessa,Krume 74158,,,Sidama,Ethiopia,Regessa,,2270,Natural,Light,Raspberry,Floral,Citrus,,250,24,9.6,Espresso
6/26/2024,Elixr Coffee,"Philadelphia, PA",USA,Juan Pena,Typica,,,"San Lorenzo, Saraguro, Loja",Ecuador,La Papaya,Juan Pena,2100,Washed,Light,Nectarine,Mandarin Orange,Cherry,,283,22,7.8,Pour-Over
11/5/2024,Sisu,Panama City,Panama,Elida Estate,Geisha,,,Boquette,Panama,Elida Estate,Lamastus Family Estates,1800,Natural ,Light,,,,,,,,Pour-Over
11/5/2024,Sisu,Panama City,Panama,Elida Estate,,,,,Panama,Elida Estate,Lamastus Family Estates,,Washed,Light,,,,,,,,Pour-Over
7/20/2024,Apollon's Gold,Tokoyo,Japan,,SL28,SL34,,,Kenya,,,,Washed,Light,Apple Cider,Nectarine,White Currant,,,24,,Pour-Over
6/14/2024,Fritz Coffee Company,Seoul,Korea,La Esperanza,Yellow Caturra,,,,Unknown,,,,Washed,Light-Medium,,,,,,,,Pour-Over
6/14/2024,Fritz Coffee Company,Seoul,Korea,Everything Good,Blend,,,,Blends,,,,Washed,Light-Medium,Dried Fruit,Caramel,Molasses,Citron Syrup,200,14.7,7.4,Pour-Over
